No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
193,FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,United Kingdom,3.43B,-,7.98,3.37%,"5,491,246"
194,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,USA,28.50B,64.14,186.39,1.07%,"927,219"
195,FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,USA,23.62B,18.40,70.90,0.37%,"1,936,101"
196,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,USA,51.34B,16.44,180.83,-0.40%,"850,184"
197,GE,General Electric Company,Industrials,Specialty Industrial Machinery,USA,115.40B,22.21,13.28,1.14%,"58,390,346"
198,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,USA,81.89B,1165.61,66.44,2.80%,"10,416,118"
199,GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,USA,36.28B,14.79,60.92,-0.65%,"6,898,819"
200,GL,Globe Life Inc.,Financial,Insurance - Life,USA,11.41B,14.45,98.69,2.13%,"363,261"
201,GLW,Corning Incorporated,Technology,Electronic Components,USA,32.13B,90.70,43.99,1.10%,"3,772,046"
202,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,83.40B,13.37,57.80,0.59%,"16,999,718"
203,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1467.49B,36.47,2137.75,3.34%,"1,669,707"
